@relation matriz
@attribute colombi numeric
@attribute petr numeric
@attribute procur numeric
@attribute nacion numeric
@attribute bogot numeric
@attribute mineri numeric
@attribute dat numeric
@attribute clust numeric
@attribute clasificacion numeric
@attribute min numeric
@attribute mining numeric
@attribute futbol numeric
@attribute jugador numeric
@attribute mundial numeric
@attribute falca numeric
@attribute messi numeric
@attribute fif numeric
@attribute fifa numeric
@attribute cop numeric
@data
0.0316926785166, 0.0871464575467, 0.0871464575467, 0.0739495832055, 0.099485002168, 0.26143937264, 0.0184873958014, 0.049742501084, 0.52287874528, 0.0403361362939, 0, 0.0568485726674, 0.26143937264, 0.0663233347787, 0.52287874528, 0.174742501084, 0.13071968632, 0, 0.0871464575467
0.158463392583, 0.0, 0.0, 0.221848749616, 0.0, 0.0, 0.0, 0.0, 0.52287874528, 0.0, 0, 0.284242863337, 0.26143937264, 0.331616673893, 0.52287874528, 0.0, 0.52287874528, 0, 0.52287874528
0.158463392583, 0.52287874528, 0.52287874528, 0.0739495832055, 0.298455006504, 0.0, 0.0184873958014, 0.0, 0.0, 0.0201680681469, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0.0
0.0316926785166, 0.0, 0.0, 0.147899166411, 0.099485002168, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0.397940008672, 0.0, 0.397940008672, 0.0, 0.0, 0.39215905896, 0, 0.0871464575467
0.0, 0.0, 0.0, 0.0, 0.0, 0.52287874528, 0.0369747916027, 0.099485002168, 0.52287874528, 0.0403361362939, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0.0
0.0316926785166, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0.113697145335, 0.52287874528, 0.0663233347787, 0.52287874528, 0.698970004336, 0.0, 0, 0.0
0.221848749616, 0.26143937264, 0.26143937264, 0.221848749616, 0.397940008672, 0.0, 0.00924369790068, 0.0, 0.0, 0.0201680681469, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.221848749616, 0.049742501084, 0.0, 0.161344545176, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0.0
0.0, 0.0, 0.0, 0.147899166411, 0.0, 0.52287874528, 0.157142864312, 0.397940008672, 0.0, 0.221848749616, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0.0
